省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
贵州,历史类,历史+不限,行政管理,4,本科批次,476,466,4,
贵州,历史类,历史+不限,会计学,3,本科批次,488,487,3,
贵州,历史类,历史+不限,广告学,1,本科批次,476,476,1,
贵州,历史类,历史+不限,旅游管理,2,本科批次,471,443,2,
贵州,历史类,历史+不限,新闻学,2,本科批次,484,477,2,
贵州,历史类,历史+不限,金融学,3,本科批次,498,475,2,1
贵州,历史类,历史+不限,国际经济与贸易,3,本科批次,470,449,3,
贵州,历史类,历史+不限,工商管理,6,本科批次,475,460,6,
贵州,历史类,历史+不限,汉语言文学,2,本科批次,490,489,2,
贵州,历史类,历史+不限,法学,2,本科批次,523,503,2,
贵州,物理类,物理+不限,新闻学,1,本科批次,418,418,1,
贵州,物理类,物理+不限,工商管理,6,本科批次,428,407,6,
贵州,物理类,物理+不限,国际经济与贸易,3,本科批次,426,417,3,
贵州,物理类,物理+不限,汉语言文学,1,本科批次,450,450,1,
贵州,物理类,物理+不限,会计学,2,本科批次,433,433,2,
贵州,物理类,物理+不限,金融学,3,本科批次,419,412,3,
贵州,物理类,物理+不限,广告学,1,本科批次,416,416,1,
贵州,物理类,物理+不限,法学,2,本科批次,458,455,2,
贵州,物理类,物理+不限,旅游管理,2,本科批次,419,418,2,
贵州,物理类,物理+不限,行政管理,4,本科批次,433,413,4,
贵州,物理类,物理+化学,通信工程,6,本科批次,406,394,6,
贵州,物理类,物理+化学,计算机科学与技术,6,本科批次,428,415,6,
贵州,物理类,物理+化学,物联网工程,6,本科批次,416,397,6,
贵州,物理类,物理+化学,电子信息工程,2,本科批次,418,417,2,
贵州,物理类,物理+化学,机械工程,8,本科批次,425,397,8,
贵州,物理类,物理+化学,数据科学与大数据技术,8,本科批次,414,396,8,
贵州,物理类,物理+化学,眼视光学,6,本科批次,441,413,6,
贵州,物理类,物理+化学,电气工程及其自动化,3,本科批次,429,420,3,
贵州,物理类,物理+化学,能源与动力工程,6,本科批次,433,413,6,
贵州,物理类,物理+化学,生物技术,3,本科批次,403,401,3,
