省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
广西,历史类,历史+不限,金融学,5,本科普通批,435,417,5,
广西,历史类,历史+不限,国际经济与贸易,5,本科普通批,432,416,5,
广西,历史类,历史+不限,法学,2,本科普通批,462,455,2,
广西,历史类,历史+不限,汉语言文学,2,本科普通批,435,433,2,
广西,历史类,历史+不限,新闻学,3,本科普通批,429,418,3,
广西,历史类,历史+不限,广告学,3,本科普通批,445,423,3,
广西,历史类,历史+不限,工商管理,4,本科普通批,421,417,4,
广西,历史类,历史+不限,行政管理,3,本科普通批,424,421,3,
广西,历史类,历史+不限,旅游管理,2,本科普通批,420,420,2,
广西,物理类,物理+不限,金融学,5,本科普通批,401,398,5,
广西,物理类,物理+不限,国际经济与贸易,5,本科普通批,439,392,5,
广西,物理类,物理+不限,法学,2,本科普通批,412,407,2,
广西,物理类,物理+不限,汉语言文学,1,本科普通批,405,405,1,
广西,物理类,物理+不限,新闻学,2,本科普通批,407,405,2,
广西,物理类,物理+不限,广告学,2,本科普通批,396,394,2,
广西,物理类,物理+不限,工商管理,4,本科普通批,420,395,2,2,
广西,物理类,物理+不限,会计学,4,本科普通批,407,404,4,
广西,物理类,物理+不限,行政管理,3,本科普通批,395,393,3,
广西,物理类,物理+不限,旅游管理,2,本科普通批,405,403,2,
广西,物理类,物理+化学,生物技术,6,本科普通批,393,373,6,
广西,物理类,物理+化学,机械工程,7,本科普通批,399,385,7,
广西,物理类,物理+化学,能源与动力工程,4,本科普通批,424,376,4,
广西,物理类,物理+化学,电气工程及其自动化,4,本科普通批,426,396,4,
广西,物理类,物理+化学,电子信息工程,4,本科普通批,404,383,4,
广西,物理类,物理+化学,通信工程,2,本科普通批,394,381,2,
广西,物理类,物理+化学,计算机科学与技术,4,本科普通批,397,395,4,
广西,物理类,物理+化学,物联网工程,4,本科普通批,382,371,4,
广西,物理类,物理+化学,数据科学与大数据技术,5,本科普通批,383,378,5,
广西,物理类,物理+化学,环境工程,5,本科普通批,400,373,4,1,
广西,物理类,物理+化学,眼视光学,4,本科普通批,422,394,4,
