省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
云南,历史类,历史+不限,会计学,4,本科批B段,497,490,4,
云南,历史类,历史+不限,旅游管理,2,本科批B段,489,488,2,
云南,历史类,历史+不限,国际经济与贸易,2,本科批B段,493,484,2,
云南,历史类,历史+不限,金融学,4,本科批B段,494,484,4,
云南,历史类,历史+不限,法学,4,本科批B段,519,498,4,
云南,历史类,历史+不限,行政管理,4,本科批B段,498,485,4,
云南,物理类,物理+不限,会计学,4,本科批B段,472,455,4,
云南,物理类,物理+不限,旅游管理,2,本科批B段,454,448,1,1,
云南,物理类,物理+不限,国际经济与贸易,2,本科批B段,480,453,2,
云南,物理类,物理+不限,金融学,4,本科批B段,470,454,4,
云南,物理类,物理+不限,法学,4,本科批B段,482,477,4,
云南,物理类,物理+不限,行政管理,3,本科批B段,454,450,3,
云南,物理类,物理+化学,计算机科学与技术,4,本科批B段,459,444,4,
云南,物理类,物理+化学,电子信息工程,2,本科批B段,467,458,2,
云南,物理类,物理+化学,数据科学与大数据技术,5,本科批B段,450,432,5,
云南,物理类,物理+化学,电气工程及其自动化,5,本科批B段,454,447,5,
云南,物理类,物理+化学,机械工程,2,本科批B段,451,436,2,
云南,物理类,物理+化学,生物技术,4,本科批B段,447,432,4,
云南,物理类,物理+化学,眼视光学,6,本科批B段,463,439,6,
