省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
江苏,艺术类,历史+不限,播音与主持艺术,35,艺术本科2小批,510,487,35,
江苏,艺术类,历史+不限,美术学,22,艺术本科2小批,496,480,22,
江苏,艺术类,历史+不限,视觉传达设计,32,艺术本科2小批,491,482,32,
江苏,艺术类,历史+不限,环境设计,42,艺术本科2小批,490,479,42,
江苏,艺术类,历史+不限,动画,32,艺术本科2小批,495,480,32,
江苏,艺术类,历史+不限,美术教育,28,艺术本科2小批,493,479,28,
江苏,艺术类,历史+不限,音乐学(器乐),30,艺术本科2小批,469,453,30,
江苏,艺术类,历史+不限,音乐学(声乐),14,艺术本科2小批,475,474,14,
江苏,艺术类,历史+不限,音乐教育(声乐),14,艺术本科2小批,491,476,14,
江苏,艺术类,物理+不限,播音与主持艺术,2,艺术本科2小批,516,516,2,
江苏,艺术类,物理+不限,美术学,2,艺术本科2小批,478,470,2,
江苏,艺术类,物理+不限,视觉传达设计,2,艺术本科2小批,484,472,2,
江苏,艺术类,物理+不限,环境设计,2,艺术本科2小批,470,469,2,
江苏,艺术类,物理+不限,动画,2,艺术本科2小批,467,467,2,
江苏,艺术类,物理+不限,美术教育,2,艺术本科2小批,468,467,2,
江苏,艺术类,物理+不限,音乐学(器乐),2,艺术本科2小批,424,414,2,
江苏,艺术类,物理+不限,音乐教育(器乐),2,艺术本科2小批,413,400,2,
江苏,艺术类,物理+不限,音乐学(声乐),2,艺术本科2小批,449,448,2,
江苏,艺术类,物理+不限,音乐教育(声乐),2,艺术本科2小批,462,451,2,
江苏,体育类,历史+不限,社会体育指导与管理,36,体育本科,499,493,36,
江苏,体育类,物理+不限,社会体育指导与管理,4,体育本科,491,486,4,
江苏,历史类,历史+不限,汉语言文学,33,本科批次,530,521,33,
江苏,历史类,历史+不限,新闻学,12,本科批次,521,518,12,
江苏,历史类,历史+不限,广告学,18,本科批次,523,516,18,
江苏,历史类,历史+不限,法语,30,本科批次,523,516,30,
江苏,历史类,历史+不限,日语,30,本科批次,524,516,30,
江苏,历史类,历史+不限,英语,24,本科批次,528,518,24,
江苏,历史类,历史+不限,商务英语,11,本科批次,525,517,11,
江苏,历史类,历史+不限,旅游管理,5,本科批次,522,516,5,
江苏,历史类,历史+不限,国际经济与贸易,20,本科批次,524,516,20,
江苏,历史类,历史+不限,金融学,21,本科批次,525,517,21,
江苏,历史类,历史+不限,法学,21,本科批次,537,524,21,
江苏,历史类,历史+不限,会计学,17,本科批次,526,521,17,
江苏,历史类,历史+不限,工商管理,6,本科批次,521,520,6,
江苏,历史类,历史+不限,行政管理,11,本科批次,520,517,11,
江苏,历史类,历史+不限,广播电视编导,30,本科批次,525,507,30,
江苏,物理类,物理+不限,汉语言文学,13,本科批次,506,499,13,
江苏,物理类,物理+不限,新闻学,10,本科批次,507,495,10,
江苏,物理类,物理+不限,广告学,11,本科批次,505,495,11,
江苏,物理类,物理+不限,法语,20,本科批次,497,493,20,
江苏,物理类,物理+不限,日语,20,本科批次,515,493,20,
江苏,物理类,物理+不限,英语,18,本科批次,511,496,18,
江苏,物理类,物理+不限,商务英语,8,本科批次,499,494,8,
江苏,物理类,物理+不限,旅游管理,5,本科批次,496,494,5,
江苏,物理类,物理+不限,国际经济与贸易,11,本科批次,508,494,11,
江苏,物理类,物理+不限,金融学,22,本科批次,507,494,22,
江苏,物理类,物理+不限,法学,18,本科批次,534,499,18,
江苏,物理类,物理+不限,会计学,10,本科批次,510,500,10,
江苏,物理类,物理+不限,工商管理,5,本科批次,500,496,5,
江苏,物理类,物理+不限,行政管理,8,本科批次,498,494,8,
江苏,物理类,物理+化学,广播电视编导,39,本科批次,509,492,39,
江苏,物理类,物理+化学,电子信息工程,39,本科批次,513,486,39,
江苏,物理类,物理+化学,通信工程,36,本科批次,494,484,36,
江苏,物理类,物理+化学,能源与动力工程,66,本科批次,497,481,66,
江苏,物理类,物理+化学,电气工程及其自动化,52,本科批次,508,488,52,
江苏,物理类,物理+化学,机械工程,62,本科批次,495,481,62,
江苏,物理类,物理+化学,计算机科学与技术,61,本科批次,506,486,61,
江苏,物理类,物理+化学,物联网工程,37,本科批次,495,481,37,
江苏,物理类,物理+化学,数据科学与大数据技术,63,本科批次,493,480,63,
江苏,物理类,物理+化学,生物技术,72,本科批次,494,479,72,
江苏,物理类,物理+化学,环境工程,41,本科批次,494,479,41,
江苏,物理类,物理+化学,眼视光学,74,本科批次,525,481,74,
