省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
江西,艺术类,不提科目要求,美术学,4,本科批次,503,489,4,
江西,艺术类,不提科目要求,视觉传达设计,2,本科批次,498,495,2,
江西,艺术类,不提科目要求,环境设计,2,本科批次,491,490,2,
江西,艺术类,不提科目要求,动画,2,本科批次,584,494,2,
江西,历史类,历史+不限,汉语言文学,2,本科批次,516,516,2,
江西,历史类,历史+不限,新闻学,2,本科批次,516,515,2,
江西,历史类,历史+不限,广告学,2,本科批次,514,513,2,
江西,历史类,历史+不限,商务英语,4,本科批次,515,513,4,
江西,历史类,历史+不限,会计学,3,本科批次,517,515,3,
江西,历史类,历史+不限,旅游管理,3,本科批次,514,513,3,
江西,历史类,历史+不限,金融学,3,本科批次,514,513,3,
江西,历史类,历史+不限,法学,3,本科批次,520,515,3,
江西,历史类,历史+不限,行政管理,3,本科批次,514,513,3,
江西,物理类,物理+不限,汉语言文学,1,本科批次,467,467,1,
江西,物理类,物理+不限,新闻学,2,本科批次,478,467,2,
江西,物理类,物理+不限,广告学,2,本科批次,460,459,2,
江西,物理类,物理+不限,英语,5,本科批次,461,454,5,
江西,物理类,物理+不限,商务英语,4,本科批次,461,456,4,
江西,物理类,物理+不限,会计学,3,本科批次,460,459,3,
江西,物理类,物理+不限,旅游管理,3,本科批次,457,454,3,
江西,物理类,物理+不限,金融学,3,本科批次,458,454,3,
江西,物理类,物理+不限,法学,3,本科批次,482,464,3,
江西,物理类,物理+不限,行政管理,3,本科批次,462,460,3,
江西,物理类,物理+不限,计算机科学与技术,7,本科批次,478,461,7,
江西,物理类,物理+不限,电子信息工程,2,本科批次,469,465,2,
江西,物理类,物理+不限,通信工程,5,本科批次,462,457,5,
江西,物理类,物理+不限,物联网工程,2,本科批次,460,460,2,
江西,物理类,物理+化学,数据科学与大数据技术,5,本科批次,478,460,5,
江西,物理类,物理+化学,能源与动力工程,5,本科批次,470,458,5,
江西,物理类,物理+化学,电气工程及其自动化,5,本科批次,472,468,5,
江西,物理类,物理+化学,机械工程,5,本科批次,463,459,5,
江西,物理类,物理+化学,生物技术,5,本科批次,468,459,5,
江西,物理类,物理+化学,环境工程,5,本科批次,459,457,5,
江西,物理类,物理+化学,眼视光学,5,本科批次,469,459,5,
