省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
山西,艺术,,动画,2,第二批本科C类,469,465,2,
山西,艺术,,美术学,4,第二批本科C类,468,463,4,
山西,艺术,,视觉传达设计,2,第二批本科C类,476,469,2,
山西,文科,,国际经济与贸易,2,第二批本科C类,435,434,2,
山西,文科,,汉语言文学,2,第二批本科C类,444,442,2,
山西,文科,,英语,2,第二批本科C类,442,441,2,
山西,文科,,广告学,2,第二批本科C类,436,432,2,
山西,文科,,行政管理,2,第二批本科C类,438,437,2,
山西,文科,,旅游管理,2,第二批本科C类,443,426,0,2
山西,理科,,生物技术,3,第二批本科C类,407,403,3,
山西,理科,,机械工程,4,第二批本科C类,404,393,4,
山西,理科,,能源与动力工程,3,第二批本科C类,407,398,3,
山西,理科,,电气工程及其自动化,3,第二批本科C类,414,408,3,
山西,理科,,电子信息工程,3,第二批本科C类,410,404,3,
山西,理科,,计算机科学与技术,3,第二批本科C类,412,407,3,
山西,理科,,物联网工程,2,第二批本科C类,408,405,2,
山西,理科,,数据科学与大数据技术,4,第二批本科C类,405,400,4,
山西,理科,,眼视光学,2,第二批本科C类,415,411,2,
山西,理科,,工商管理,2,第二批本科C类,399,393,2,
山西,理科,,行政管理,2,第二批本科C类,398,386,1,1
山西,理科,,旅游管理,2,第二批本科C类,405,386,1,1
