省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
河南,艺术,,音乐学,4,艺术本科批,444,437,4,
河南,艺术,,音乐教育,4,艺术本科批,451,431,4,
河南,艺术,,播音与主持艺术,5,艺术本科批,480,471,5,
河南,文科,,金融学,4,本科第二批,487,480,4,
河南,文科,,国际经济与贸易,4,本科第二批,484,483,4,
河南,文科,,法学,4,本科第二批,502,493,4,
河南,文科,,汉语言文学,3,本科第二批,501,488,3,
河南,文科,,英语,3,本科第二批,486,486,3,
河南,文科,,翻译,4,本科第二批,485,480,4,
河南,文科,,新闻学,4,本科第二批,490,482,4,
河南,文科,,广告学,4,本科第二批,490,481,4,
河南,文科,,工商管理,2,本科第二批,484,481,2,
河南,文科,,会计学,4,本科第二批,487,486,4,
河南,文科,,行政管理,3,本科第二批,485,481,3,
河南,文科,,旅游管理,2,本科第二批,481,481,2,
河南,理科,,金融学,4,本科第二批,466,438,4,
河南,理科,,国际经济与贸易,3,本科第二批,453,446,3,
河南,理科,,法学,4,本科第二批,490,454,4,
河南,理科,,英语,3,本科第二批,479,444,3,
河南,理科,,翻译,4,本科第二批,464,438,4,
河南,理科,,生物技术,5,本科第二批,475,447,5,
河南,理科,,机械工程,5,本科第二批,457,453,5,
河南,理科,,能源与动力工程,4,本科第二批,463,451,4,
河南,理科,,电气工程及其自动化,4,本科第二批,475,459,4,
河南,理科,,电子信息工程,5,本科第二批,465,457,5,
河南,理科,,通信工程,4,本科第二批,465,447,4,
河南,理科,,计算机科学与技术,5,本科第二批,474,462,5,
河南,理科,,物联网工程,4,本科第二批,460,453,4,
河南,理科,,数据科学与大数据技术,5,本科第二批,466,454,5,
河南,理科,,环境工程,5,本科第二批,440,436,5,
河南,理科,,眼视光学,5,本科第二批,467,449,5,
河南,理科,,会计学,4,本科第二批,472,457,4,
河南,理科,,行政管理,3,本科第二批,452,438,3,
河南,理科,,旅游管理,2,本科第二批,446,436,2,
