省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
江苏,历史等科目类,历史+不限,汉语言文学,38,普通本科批次,519,508,38,
江苏,历史等科目类,历史+不限,新闻学,17,普通本科批次,511,503,17,
江苏,历史等科目类,历史+不限,广告学,12,普通本科批次,507,501,12,
江苏,历史等科目类,历史+不限,法语,30,普通本科批次,505,500,30,
江苏,历史等科目类,历史+不限,日语,30,普通本科批次,504,500,30,
江苏,历史等科目类,历史+不限,英语,28,普通本科批次,508,502,28,
江苏,历史等科目类,历史+不限,翻译,11,普通本科批次,506,501,11,
江苏,历史等科目类,历史+不限,行政管理,14,普通本科批次,509,501,14,
江苏,历史等科目类,历史+不限,法学,22,普通本科批次,522,506,22,
江苏,历史等科目类,历史+不限,会计学,17,普通本科批次,508,504,17,
江苏,历史等科目类,历史+不限,旅游管理,5,普通本科批次,502,501,5,
江苏,历史等科目类,历史+不限,工商管理,11,普通本科批次,503,501,11,
江苏,历史等科目类,历史+不限,国际经济与贸易,25,普通本科批次,507,500,24,1
江苏,历史等科目类,历史+不限,金融学,23,普通本科批次,516,500,22,1
江苏,历史等科目类,历史+化学,眼视光学,4,普通本科批次,481,477,4,
江苏,物理等科目类,物理+不限,计算机科学与技术,64,普通本科批次,510,484,64,
江苏,物理等科目类,物理+不限,电子信息工程,39,普通本科批次,492,481,39,
江苏,物理等科目类,物理+不限,通信工程,40,普通本科批次,489,479,40,
江苏,物理等科目类,物理+不限,物联网工程,39,普通本科批次,488,479,39,
江苏,物理等科目类,物理+不限,数据科学与大数据技术,72,普通本科批次,499,479,72,
江苏,物理等科目类,物理+不限,能源与动力工程,43,普通本科批次,496,478,43,
江苏,物理等科目类,物理+不限,电气工程及其自动化,63,普通本科批次,496,480,63,
江苏,物理等科目类,物理+不限,机械工程,31,普通本科批次,499,479,31,
江苏,物理等科目类,物理+不限,汉语言文学,13,普通本科批次,523,500,13,
江苏,物理等科目类,物理+不限,新闻学,11,普通本科批次,492,478,11,
江苏,物理等科目类,物理+不限,广告学,11,普通本科批次,495,477,11,
江苏,物理等科目类,物理+不限,法语,20,普通本科批次,491,475,20,
江苏,物理等科目类,物理+不限,日语,20,普通本科批次,480,475,20,
江苏,物理等科目类,物理+不限,英语,18,普通本科批次,503,481,18,
江苏,物理等科目类,物理+不限,翻译,6,普通本科批次,480,477,6,
江苏,物理等科目类,物理+不限,会计学,22,普通本科批次,499,481,22,
江苏,物理等科目类,物理+不限,旅游管理,5,普通本科批次,478,475,5,
江苏,物理等科目类,物理+不限,工商管理,6,普通本科批次,480,477,6,
江苏,物理等科目类,物理+不限,国际经济与贸易,15,普通本科批次,487,476,15,
江苏,物理等科目类,物理+不限,金融学,24,普通本科批次,487,474,24,
江苏,物理等科目类,物理+不限,法学,20,普通本科批次,519,488,20,
江苏,物理等科目类,物理+不限,行政管理,8,普通本科批次,486,476,8,
江苏,物理等科目类,物理+化学,环境工程,56,普通本科批次,488,468,56,
江苏,物理等科目类,物理+化学,眼视光学,42,普通本科批次,517,470,42,
江苏,物理等科目类,物理+化学或生物,生物技术,86,普通本科批次,492,473,86,
江苏,艺术,历史+不限,美术学,31,艺术本科2小批,480,462,31,
江苏,艺术,历史+不限,环境设计,66,艺术本科2小批,466,461,66,
江苏,艺术,历史+不限,视觉传达设计,35,艺术本科2小批,477,464,35,
江苏,艺术,物理+不限,美术学,2,艺术本科2小批,492,492,2,
江苏,艺术,物理+不限,环境设计,2,艺术本科2小批,493,492,2,
江苏,艺术,物理+不限,视觉传达设计,2,艺术本科2小批,495,494,2,
江苏,艺术,历史+不限,音乐学(声乐),13,艺术本科2小批,187,182,13,
江苏,艺术,历史+不限,音乐教育(声乐),11,艺术本科2小批,190,184,11,
江苏,艺术,物理+不限,音乐学(声乐),2,艺术本科2小批,194,194,2,
江苏,艺术,物理+不限,音乐教育(声乐),2,艺术本科2小批,191,190,2,
江苏,艺术,历史+不限,音乐学(器乐),27,艺术本科2小批,185,177,27,
江苏,艺术,历史+不限,音乐教育(器乐),27,艺术本科2小批,189,178,27,
江苏,艺术,物理+不限,音乐学(器乐),2,艺术本科2小批,180,180,2,
江苏,艺术,物理+不限,音乐教育(器乐),2,艺术本科2小批,185,181,2,
江苏,艺术,历史+不限,广播电视编导,44,艺术本科2小批,509,491,44,
江苏,艺术,物理+不限,广播电视编导,2,艺术本科2小批,501,494,2,
