省份,科类,选科要求,专业,录取人数,批次,最高分,最低分,平行志愿,征求志愿
安徽,艺术类,不提科目要求,美术学,2,艺术第二批(B段),480,479,2,
安徽,艺术类,不提科目要求,环境设计,2,艺术第二批(B段),479,478,2,
安徽,艺术类,不提科目要求,视觉传达设计,2,艺术第二批(B段),485,483,2,
安徽,艺术类,不提科目要求,动画,2,艺术第二批(B段),481,479,2,
安徽,艺术类,不提科目要求,音乐教育,4,艺术第二批(B段),475,474,4,
安徽,艺术类,不提科目要求,音乐学,4,艺术第二批(B段),473,471,4,
安徽,历史类,历史+不限,汉语言文学,2,普通本科批,506,504,2,
安徽,历史类,历史+不限,工商管理,2,普通本科批,502,501,2,
安徽,历史类,历史+不限,旅游管理,2,普通本科批,503,499,2,
安徽,历史类,历史+不限,英语,4,普通本科批,504,500,4,
安徽,历史类,历史+不限,新闻学,2,普通本科批,503,502,2,
安徽,历史类,历史+不限,金融学,3,普通本科批,503,500,3,
安徽,历史类,历史+不限,商务英语,5,普通本科批,500,499,5,
安徽,物理类,物理+不限,金融学,3,普通本科批,487,485,3,
安徽,物理类,物理+不限,汉语言文学,2,普通本科批,487,487,2,
安徽,物理类,物理+不限,新闻学,2,普通本科批,487,486,2,
安徽,物理类,物理+不限,英语,5,普通本科批,495,486,5,
安徽,物理类,物理+不限,旅游管理,2,普通本科批,486,486,2,
安徽,物理类,物理+不限,工商管理,2,普通本科批,489,487,2,
安徽,物理类,物理+不限,商务英语,5,普通本科批,487,486,5,
安徽,物理类,物理+不限,计算机科学与技术,5,普通本科批,495,487,5,
安徽,物理类,物理+不限,物联网工程,5,普通本科批,488,486,5,
安徽,物理类,物理+不限,电气工程及其自动化,5,普通本科批,598,487,5,
安徽,物理类,物理+化学,眼视光学,5,普通本科批,487,485,5,
安徽,物理类,物理+化学,通信工程,4,普通本科批,487,486,4,
安徽,物理类,物理+化学,机械工程,5,普通本科批,493,486,5,
